case_id,customer_id,created_date,closed_date,channel,department,team_name,agent_name,issue_category,issue_subcategory,priority,status,first_response_time_minutes,resolution_time_hours,sla_target_hours,sla_met_flag,reopened_flag,csat_score,escalation_flag,transfer_count,region,shift,resolution_type,root_cause_group,customer_type,queue_name
100027,7783,2025-01-01 17:23:00,2025-01-01 19:23:00,Chat,Finance Ops,Billing Support,Billing_Agent_5,Account,Access Request,High,Resolved,81,2.0,12,1,0,3.8,0,0,South,Morning,Automation,Incomplete Documentation,SMB,General Queue
100028,5444,2025-01-01 09:03:00,2025-01-03 07:03:00,Email,Finance Ops,Billing Support,Billing_Agent_5,Technical,Integration Error,High,Closed,35,46.0,12,0,1,3.0,1,2,East,Evening,Escalated,System Configuration,SMB,Technical Queue
100029,8684,2025-01-01 03:56:00,,Phone,IT Support,Tech Support,Tech_Agent_6,General,Document Upload,Medium,Open,93,18.0,24,0,0,4.6,0,0,West,Evening,Escalated,System Configuration,Mid-Market,General Queue
100030,7946,2025-01-01 18:22:00,,Phone,IT Support,Tech Support,Tech_Agent_4,Billing,Payment Failure,Medium,Open,83,11.7,24,0,0,4.6,0,0,West,Evening,Resolved,Manual Review Delay,Mid-Market,VIP Queue
100031,8473,2025-01-01 10:42:00,2025-01-01 16:42:00,Email,Customer Service,North Ops,North_Agent_5,Account,Access Request,Medium,Resolved,80,6.0,24,1,0,5.0,0,1,Central,Night,Manual Correction,Manual Review Delay,Enterprise,Technical Queue
100032,6648,2025-01-01 13:56:00,2025-01-01 19:38:00,Email,Customer Success,Retention Desk,Retention_Agent_5,Account,Access Request,Low,Closed,62,5.7,48,1,0,4.5,0,3,South,Night,Resolved,System Configuration,Mid-Market,Billing Queue
100033,8064,2025-01-01 12:56:00,2025-01-03 18:20:00,Chat,Customer Service,South Ops,South_Agent_5,Retention,Plan Change,Medium,Closed,42,53.4,24,0,0,4.0,0,0,West,Night,Manual Correction,System Configuration,Enterprise,Escalation Queue
100034,6175,2025-01-01 00:00:00,2025-01-01 11:48:00,Phone,Finance Ops,Billing Support,Billing_Agent_8,Retention,Plan Change,Low,Closed,5,11.8,48,1,0,3.7,0,3,West,Evening,Manual Correction,Queue Imbalance,Mid-Market,Escalation Queue
100035,7767,2025-01-01 15:04:00,2025-01-02 16:58:00,Chat,Customer Success,Retention Desk,Retention_Agent_3,Account,Duplicate Record,High,Resolved,70,25.9,12,0,0,4.3,0,0,West,Night,Manual Correction,Queue Imbalance,Mid-Market,VIP Queue
100036,7592,2025-01-01 17:35:00,2025-01-02 05:47:00,Email,Customer Service,South Ops,South_Agent_1,Billing,Refund Request,Medium,Closed,38,12.2,24,1,0,4.0,0,3,South,Morning,Resolved,Queue Imbalance,Enterprise,Billing Queue
100037,5189,2025-01-01 05:01:00,2025-01-01 16:37:00,Chat,Finance Ops,Billing Support,Billing_Agent_7,Technical,Login Issue,Low,Resolved,11,11.6,48,1,0,4.2,0,1,West,Evening,Escalated,Queue Imbalance,SMB,Escalation Queue
100038,5796,2025-01-01 21:29:00,2025-01-03 10:41:00,Phone,Customer Service,North Ops,North_Agent_1,Retention,Service Complaint,Low,Resolved,69,37.2,48,1,0,3.4,1,0,East,Evening,Escalated,Queue Imbalance,SMB,VIP Queue
100039,8656,2025-01-01 23:28:00,2025-01-03 11:46:00,Chat,Customer Service,South Ops,South_Agent_4,Technical,Integration Error,Medium,Resolved,4,36.3,24,0,0,3.6,1,2,Central,Evening,Escalated,Queue Imbalance,Enterprise,Billing Queue
100040,6020,2025-01-01 01:42:00,2025-01-01 08:24:00,Chat,Customer Service,South Ops,South_Agent_4,General,Follow-up,Medium,Resolved,38,6.7,24,1,0,4.1,0,0,Central,Evening,Manual Correction,System Configuration,Enterprise,Billing Queue
100041,8891,2025-01-01 20:19:00,2025-01-02 03:01:00,Phone,IT Support,Tech Support,Tech_Agent_1,General,Document Upload,Low,Closed,24,6.7,48,1,0,3.9,0,0,East,Night,Resolved,System Configuration,Enterprise,Escalation Queue
100042,8528,2025-01-01 05:25:00,2025-01-01 17:37:00,Chat,IT Support,Tech Support,Tech_Agent_8,General,Follow-up,Low,Closed,34,12.2,48,1,0,4.1,0,0,East,Evening,Resolved,System Configuration,Enterprise,Technical Queue
100043,5979,2025-01-01 16:32:00,,Email,Customer Service,South Ops,South_Agent_7,Account,Access Request,Medium,Open,26,15.0,24,0,0,4.4,0,0,South,Evening,Resolved,System Configuration,SMB,General Queue
100044,8657,2025-01-01 11:27:00,2025-01-01 20:21:00,Email,Finance Ops,Billing Support,Billing_Agent_6,Technical,System Error,Low,Closed,32,8.9,48,1,0,5.0,0,1,Central,Morning,Automation,System Configuration,SMB,Billing Queue
100045,5876,2025-01-01 05:12:00,2025-01-02 08:24:00,Email,Customer Service,South Ops,South_Agent_7,Retention,Plan Change,Medium,Closed,82,27.2,24,0,0,4.1,0,0,Central,Evening,Resolved,Manual Review Delay,Mid-Market,VIP Queue
100046,5847,2025-01-01 14:11:00,2025-01-02 02:23:00,Email,Finance Ops,Billing Support,Billing_Agent_7,General,Follow-up,Low,Closed,39,12.2,48,1,0,4.3,0,1,East,Evening,Manual Correction,System Configuration,Enterprise,Escalation Queue
100047,8861,2025-01-01 16:16:00,2025-01-01 19:22:00,Chat,Customer Service,North Ops,North_Agent_1,General,Follow-up,Low,Resolved,28,3.1,48,1,0,4.8,0,0,South,Evening,Resolved,System Configuration,Enterprise,VIP Queue
100048,8677,2025-01-01 18:38:00,2025-01-02 15:26:00,Phone,IT Support,Tech Support,Tech_Agent_6,General,Document Upload,Low,Resolved,12,20.8,48,1,0,4.0,0,1,West,Evening,Resolved,Training Gap,Mid-Market,Billing Queue
100049,6376,2025-01-01 00:59:00,2025-01-01 11:59:00,Portal,Finance Ops,Billing Support,Billing_Agent_6,Retention,Service Complaint,High,Closed,71,11.0,12,1,0,3.4,1,1,East,Night,Escalated,Manual Review Delay,SMB,Billing Queue
100050,8714,2025-01-01 18:13:00,2025-01-03 20:01:00,Chat,IT Support,Tech Support,Tech_Agent_5,Technical,Integration Error,High,Closed,93,49.8,12,0,0,4.2,0,0,East,Night,Automation,System Configuration,SMB,Escalation Queue
100051,8550,2025-01-01 14:37:00,2025-01-02 05:07:00,Email,Customer Service,North Ops,North_Agent_3,Billing,Payment Failure,High,Closed,81,14.5,12,0,0,4.6,0,2,East,Morning,Escalated,Queue Imbalance,Mid-Market,General Queue
100052,6338,2025-01-01 07:13:00,2025-01-03 08:25:00,Phone,Finance Ops,Billing Support,Billing_Agent_1,Retention,Service Complaint,Low,Closed,123,49.2,48,0,1,4.0,0,1,South,Evening,Resolved,Incomplete Documentation,SMB,Technical Queue
100053,8068,2025-01-01 16:03:00,2025-01-03 03:57:00,Chat,IT Support,Tech Support,Tech_Agent_7,Account,Profile Update,Low,Closed,111,35.9,48,1,0,3.5,0,0,Central,Evening,Resolved,Queue Imbalance,SMB,Billing Queue
100054,8437,2025-01-01 08:26:00,2025-01-01 23:08:00,Email,Customer Service,North Ops,North_Agent_3,Billing,Invoice Error,Medium,Resolved,115,14.7,24,1,0,4.7,0,2,Central,Night,Pending Third Party,Training Gap,Mid-Market,Billing Queue
100055,7310,2025-01-01 22:51:00,2025-01-02 15:33:00,Portal,Customer Service,South Ops,South_Agent_8,Technical,System Error,Urgent,Resolved,17,16.7,4,0,0,3.2,1,2,West,Evening,Escalated,Training Gap,Mid-Market,Technical Queue
100056,7942,2025-01-01 20:43:00,2025-01-03 15:13:00,Phone,Finance Ops,Billing Support,Billing_Agent_8,Technical,Integration Error,Low,Resolved,49,42.5,48,1,0,4.3,0,1,Central,Morning,Resolved,Manual Review Delay,Enterprise,Technical Queue
100057,7774,2025-01-01 10:38:00,2025-01-01 11:44:00,Portal,Customer Service,North Ops,North_Agent_1,General,Information Request,Medium,Closed,91,1.1,24,1,0,4.4,0,1,East,Evening,Resolved,Queue Imbalance,Enterprise,Billing Queue
100058,5417,2025-01-01 21:24:00,,Phone,Customer Service,North Ops,North_Agent_3,General,Document Upload,Medium,Open,16,8.7,24,0,0,4.5,0,0,South,Night,Resolved,System Configuration,SMB,Escalation Queue
100059,6754,2025-01-01 11:51:00,2025-01-02 03:39:00,Email,Customer Service,North Ops,North_Agent_2,General,Information Request,High,Closed,2,15.8,12,0,0,4.5,0,0,South,Morning,Resolved,Incomplete Documentation,SMB,Escalation Queue
100060,6775,2025-01-01 16:43:00,,Phone,Finance Ops,Billing Support,Billing_Agent_4,Billing,Refund Request,Low,Open,79,15.4,48,0,0,4.3,0,0,South,Night,Resolved,Incomplete Documentation,SMB,VIP Queue
100061,6106,2025-01-01 17:48:00,2025-01-02 04:12:00,Phone,Customer Service,South Ops,South_Agent_7,Retention,Cancellation Request,Medium,Closed,34,10.4,24,1,0,4.6,0,0,East,Evening,Resolved,Manual Review Delay,SMB,VIP Queue
100062,6142,2025-01-01 08:22:00,2025-01-02 06:34:00,Phone,Customer Success,Retention Desk,Retention_Agent_6,Account,Duplicate Record,Low,Resolved,38,22.2,48,1,0,4.5,0,0,East,Morning,Pending Third Party,Training Gap,Enterprise,VIP Queue
100063,5117,2025-01-01 12:56:00,,Email,Customer Success,Retention Desk,Retention_Agent_8,General,Document Upload,Medium,Open,31,16.3,24,0,0,4.5,0,0,East,Evening,Resolved,System Configuration,Enterprise,Billing Queue
100064,6145,2025-01-01 08:49:00,2025-01-02 14:07:00,Phone,IT Support,Tech Support,Tech_Agent_3,Technical,System Error,Low,Resolved,19,29.3,48,1,0,4.8,0,0,South,Night,Resolved,Manual Review Delay,SMB,General Queue
100065,6664,2025-01-01 08:14:00,2025-01-03 23:38:00,Portal,Customer Success,Retention Desk,Retention_Agent_5,Technical,Login Issue,High,Resolved,69,63.4,12,0,0,5.0,0,0,East,Night,Resolved,Manual Review Delay,Mid-Market,Billing Queue
100066,6205,2025-01-01 00:35:00,2025-01-01 05:59:00,Chat,IT Support,Tech Support,Tech_Agent_4,Retention,Service Complaint,Low,Closed,37,5.4,48,1,0,4.3,0,0,West,Evening,Resolved,Manual Review Delay,SMB,Billing Queue
100067,7174,2025-01-01 16:09:00,2025-01-01 17:45:00,Phone,Finance Ops,Billing Support,Billing_Agent_4,General,Follow-up,Medium,Resolved,62,1.6,24,1,1,4.2,0,0,South,Evening,Automation,System Configuration,SMB,Escalation Queue
100068,6255,2025-01-01 15:29:00,2025-01-02 15:59:00,Chat,Finance Ops,Billing Support,Billing_Agent_8,Account,Access Request,High,Closed,20,24.5,12,0,0,3.7,0,0,South,Morning,Escalated,Queue Imbalance,Mid-Market,General Queue
100069,7826,2025-01-01 18:17:00,2025-01-02 01:05:00,Chat,Customer Service,South Ops,South_Agent_4,Account,Profile Update,High,Closed,35,6.8,12,1,0,4.6,0,0,West,Morning,Resolved,Incomplete Documentation,Mid-Market,Billing Queue
100070,7148,2025-01-01 20:07:00,2025-01-03 02:07:00,Email,IT Support,Tech Support,Tech_Agent_8,Account,Access Request,Low,Closed,23,30.0,48,1,0,3.5,0,2,South,Morning,Resolved,Manual Review Delay,Enterprise,Billing Queue
100071,5057,2025-01-01 06:07:00,2025-01-02 14:25:00,Chat,Finance Ops,Billing Support,Billing_Agent_7,Technical,System Error,Medium,Closed,77,32.3,24,0,0,3.4,0,1,West,Evening,Resolved,Queue Imbalance,SMB,General Queue
100072,7612,2025-01-01 23:48:00,2025-01-02 18:48:00,Email,Customer Service,North Ops,North_Agent_3,General,Follow-up,High,Resolved,29,19.0,12,0,0,5.0,0,2,East,Morning,Resolved,Manual Review Delay,SMB,General Queue
100073,6395,2025-01-01 16:20:00,2025-01-02 03:44:00,Phone,Customer Success,Retention Desk,Retention_Agent_1,Account,Duplicate Record,Medium,Closed,32,11.4,24,1,0,4.7,0,1,West,Morning,Manual Correction,Manual Review Delay,SMB,Technical Queue
100074,5303,2025-01-01 13:40:00,2025-01-02 00:22:00,Portal,IT Support,Tech Support,Tech_Agent_1,Billing,Invoice Error,High,Resolved,243,10.7,12,1,0,3.6,0,0,Central,Morning,Resolved,Manual Review Delay,SMB,Billing Queue
100075,7285,2025-01-01 08:28:00,2025-01-01 17:04:00,Email,Customer Success,Retention Desk,Retention_Agent_6,Account,Profile Update,High,Closed,52,8.6,12,1,0,4.0,0,1,East,Night,Resolved,Manual Review Delay,Enterprise,Escalation Queue
100076,8721,2025-01-01 12:59:00,2025-01-02 04:47:00,Email,Customer Success,Retention Desk,Retention_Agent_5,Technical,Integration Error,Medium,Resolved,29,15.8,24,1,0,4.5,0,1,East,Evening,Resolved,Training Gap,Mid-Market,Escalation Queue
100077,7497,2025-01-01 21:11:00,2025-01-02 06:41:00,Phone,IT Support,Tech Support,Tech_Agent_1,Account,Access Request,Medium,Closed,31,9.5,24,1,0,4.4,0,0,Central,Morning,Resolved,Incomplete Documentation,Enterprise,Billing Queue
100078,7260,2025-01-01 08:11:00,2025-01-02 19:17:00,Portal,Finance Ops,Billing Support,Billing_Agent_5,Billing,Invoice Error,Low,Closed,82,35.1,48,1,0,4.9,0,1,Central,Morning,Resolved,Queue Imbalance,Mid-Market,General Queue
100079,6192,2025-01-01 20:16:00,,Portal,IT Support,Tech Support,Tech_Agent_4,Retention,Plan Change,Low,Open,97,47.0,48,0,0,3.9,0,1,Central,Morning,Resolved,System Configuration,Mid-Market,Technical Queue
100080,8784,2025-01-01 23:27:00,2025-01-04 20:51:00,Phone,Finance Ops,Billing Support,Billing_Agent_8,Retention,Cancellation Request,Medium,Resolved,85,69.4,24,0,0,4.4,0,0,South,Night,Resolved,Training Gap,Mid-Market,Escalation Queue
100081,7652,2025-01-01 18:35:00,2025-01-02 04:05:00,Email,Customer Service,South Ops,South_Agent_7,Retention,Cancellation Request,Low,Closed,56,9.5,48,1,0,4.2,0,3,West,Evening,Resolved,Manual Review Delay,SMB,Billing Queue
100082,8067,2025-01-01 10:29:00,2025-01-01 13:47:00,Chat,Customer Service,North Ops,North_Agent_8,Billing,Invoice Error,Medium,Closed,28,3.3,24,1,0,3.6,0,1,South,Evening,Resolved,Incomplete Documentation,Enterprise,General Queue
100083,7049,2025-01-01 13:44:00,2025-01-01 18:50:00,Portal,IT Support,Tech Support,Tech_Agent_3,Account,Access Request,Low,Closed,52,5.1,48,1,0,4.7,0,1,East,Evening,Resolved,Manual Review Delay,SMB,General Queue
100084,6025,2025-01-01 11:00:00,2025-01-02 08:42:00,Email,Customer Success,Retention Desk,Retention_Agent_1,Billing,Refund Request,Medium,Closed,42,21.7,24,1,0,4.3,0,2,Central,Morning,Automation,System Configuration,SMB,Billing Queue
100085,7360,2025-01-01 22:56:00,2025-01-02 10:50:00,Portal,Customer Success,Retention Desk,Retention_Agent_5,General,Information Request,Low,Resolved,112,11.9,48,1,0,4.5,0,0,Central,Morning,Resolved,System Configuration,SMB,VIP Queue
100086,6785,2025-01-01 06:11:00,2025-01-01 17:41:00,Phone,Customer Success,Retention Desk,Retention_Agent_2,Retention,Service Complaint,High,Closed,13,11.5,12,1,0,3.5,0,1,East,Morning,Resolved,System Configuration,SMB,VIP Queue
100087,5428,2025-01-01 10:57:00,2025-01-01 17:15:00,Portal,Finance Ops,Billing Support,Billing_Agent_4,Retention,Service Complaint,Low,Closed,54,6.3,48,1,0,4.2,0,0,West,Evening,Resolved,Training Gap,SMB,VIP Queue
100088,7253,2025-01-01 13:40:00,,Chat,IT Support,Tech Support,Tech_Agent_8,Account,Access Request,Medium,Open,57,9.7,24,0,0,4.1,0,1,Central,Evening,Manual Correction,Manual Review Delay,Enterprise,General Queue
100089,8542,2025-01-01 03:57:00,2025-01-02 00:09:00,Portal,Finance Ops,Billing Support,Billing_Agent_7,Account,Duplicate Record,High,Closed,99,20.2,12,0,0,5.0,0,0,Central,Night,Escalated,Incomplete Documentation,SMB,Escalation Queue
100090,6481,2025-01-01 06:24:00,2025-01-01 22:30:00,Phone,IT Support,Tech Support,Tech_Agent_4,Retention,Cancellation Request,Low,Resolved,34,16.1,48,1,0,4.5,0,0,East,Night,Escalated,Incomplete Documentation,SMB,VIP Queue
100091,8799,2025-01-01 18:44:00,2025-01-03 00:02:00,Portal,Customer Service,North Ops,North_Agent_8,Technical,System Error,Urgent,Closed,16,29.3,4,0,0,4.4,1,0,South,Evening,Escalated,Training Gap,SMB,VIP Queue
100092,7907,2025-01-01 20:46:00,2025-01-02 12:46:00,Portal,Customer Service,North Ops,North_Agent_3,Billing,Payment Failure,Medium,Closed,80,16.0,24,1,0,5.0,0,1,West,Evening,Manual Correction,Training Gap,SMB,Escalation Queue
100093,8446,2025-01-01 03:10:00,2025-01-01 05:28:00,Portal,Customer Service,North Ops,North_Agent_4,General,Follow-up,Medium,Closed,64,2.3,24,1,0,4.3,0,0,Central,Evening,Manual Correction,Manual Review Delay,Mid-Market,General Queue
100094,7889,2025-01-01 09:57:00,2025-01-02 10:21:00,Phone,Customer Service,South Ops,South_Agent_5,Retention,Plan Change,Medium,Closed,24,24.4,24,0,0,3.0,0,0,South,Evening,Resolved,Incomplete Documentation,SMB,VIP Queue
100095,6571,2025-01-01 18:48:00,2025-01-03 09:12:00,Phone,IT Support,Tech Support,Tech_Agent_4,Technical,System Error,High,Resolved,59,38.4,12,0,0,4.0,1,0,West,Night,Escalated,Incomplete Documentation,SMB,Escalation Queue
100096,8826,2025-01-01 14:09:00,2025-01-01 23:57:00,Phone,Customer Service,South Ops,South_Agent_2,Billing,Refund Request,Low,Closed,11,9.8,48,1,0,5.0,0,1,South,Morning,Resolved,Manual Review Delay,SMB,Technical Queue
100097,8544,2025-01-01 22:31:00,2025-01-02 02:07:00,Email,Finance Ops,Billing Support,Billing_Agent_3,General,Document Upload,Low,Closed,49,3.6,48,1,1,3.9,0,0,West,Evening,Manual Correction,System Configuration,Enterprise,Escalation Queue
100098,7225,2025-01-01 18:50:00,2025-01-02 01:08:00,Chat,IT Support,Tech Support,Tech_Agent_3,Account,Duplicate Record,Medium,Resolved,85,6.3,24,1,1,3.9,0,3,East,Evening,Manual Correction,Manual Review Delay,Enterprise,Technical Queue
100099,8506,2025-01-01 13:04:00,2025-01-04 05:22:00,Portal,Customer Service,South Ops,South_Agent_6,Technical,Integration Error,High,Closed,41,64.3,12,0,0,3.8,0,0,East,Morning,Pending Third Party,Training Gap,Enterprise,Technical Queue
100100,5623,2025-01-01 22:39:00,2025-01-02 15:39:00,Chat,IT Support,Tech Support,Tech_Agent_1,Retention,Service Complaint,Low,Closed,121,17.0,48,1,0,4.4,0,2,East,Morning,Resolved,Incomplete Documentation,SMB,Billing Queue
100101,5408,2025-01-01 03:25:00,2025-01-01 05:55:00,Phone,Customer Success,Retention Desk,Retention_Agent_4,General,Follow-up,Medium,Closed,77,2.5,24,1,0,3.8,0,0,East,Morning,Resolved,Manual Review Delay,SMB,Billing Queue
100102,6386,2025-01-01 16:01:00,2025-01-06 03:07:00,Chat,IT Support,Tech Support,Tech_Agent_6,Technical,Login Issue,Medium,Resolved,35,107.1,24,0,1,4.5,0,0,East,Night,Escalated,System Configuration,Mid-Market,General Queue
100103,7943,2025-01-01 10:48:00,2025-01-01 23:00:00,Chat,Finance Ops,Billing Support,Billing_Agent_4,General,Follow-up,High,Closed,44,12.2,12,0,1,3.2,0,2,East,Night,Manual Correction,System Configuration,SMB,General Queue
100104,8772,2025-01-01 21:32:00,2025-01-02 03:44:00,Chat,Customer Success,Retention Desk,Retention_Agent_3,Billing,Invoice Error,Medium,Resolved,18,6.2,24,1,0,4.4,0,1,South,Morning,Automation,Manual Review Delay,Enterprise,General Queue
100105,5681,2025-01-01 03:25:00,2025-01-01 21:07:00,Portal,IT Support,Tech Support,Tech_Agent_2,Billing,Payment Failure,Low,Closed,152,17.7,48,1,0,4.2,0,1,South,Morning,Resolved,System Configuration,SMB,General Queue
100106,6764,2025-01-02 12:14:00,2025-01-04 16:38:00,Phone,Finance Ops,Billing Support,Billing_Agent_6,Billing,Refund Request,High,Closed,72,52.4,12,0,0,3.9,0,1,West,Morning,Automation,Queue Imbalance,SMB,Escalation Queue
100107,5717,2025-01-02 06:08:00,2025-01-03 11:56:00,Phone,IT Support,Tech Support,Tech_Agent_6,General,Document Upload,Low,Closed,138,29.8,48,1,0,4.5,0,0,Central,Night,Resolved,Training Gap,Mid-Market,VIP Queue
100108,5951,2025-01-02 19:54:00,,Portal,Customer Success,Retention Desk,Retention_Agent_8,Technical,System Error,Medium,Open,25,27.2,24,0,0,4.3,0,0,East,Night,Manual Correction,Manual Review Delay,SMB,Technical Queue
100109,8691,2025-01-02 00:19:00,2025-01-02 07:49:00,Email,IT Support,Tech Support,Tech_Agent_7,Account,Access Request,Low,Closed,63,7.5,48,1,0,3.4,0,0,South,Night,Resolved,Incomplete Documentation,Mid-Market,Escalation Queue
100110,6225,2025-01-02 11:47:00,2025-01-02 18:47:00,Email,Customer Service,South Ops,South_Agent_4,Billing,Refund Request,Medium,Closed,55,7.0,24,1,1,3.6,0,2,East,Night,Escalated,Manual Review Delay,Enterprise,Technical Queue
